27 27
0	#	661	1432	1913	2169	2562	2983	3067	3103	3089	3022	3009	1626	1335	2107	1988	2503	2496	3117	3394	3428	2667	3300	3370	3620	3785
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
#	#	0	1292	1746	1921	2383	2765	2819	2833	2778	2673	2605	1149	761	1453	1509	1912	1932	2556	2865	2849	2013	2689	2734	2981	3132
#	#	#	0	481	750	1133	1550	1636	1676	1680	1641	1687	2333	1886	1778	973	1693	1592	2111	2275	2450	2212	2463	2665	2904	3188
#	#	#	#	0	2091	652	1071	1162	1209	1234	1226	1323	2726	2274	1942	964	1662	1524	1932	2023	2266	2284	2348	2599	2821	3142
#	#	#	#	#	0	495	843	905	934	929	903	994	2806	2362	1862	835	1467	1313	1652	1713	1979	2132	2091	2362	2573	2909
#	#	#	#	#	#	0	435	555	629	730	815	1028	3300	3213	2329	1300	1854	1687	1893	1855	2190	2547	2368	2670	2857	3213
#	#	#	#	#	#	#	0	151	253	434	604	875	3616	3179	2524	1527	1948	1775	1831	1706	2085	2654	2320	2645	2802	3172
#	#	#	#	#	#	#	#	0	104	299	486	763	3632	3200	2495	1521	1889	1716	1726	1581	1968	2593	2216	2545	2693	3066
#	#	#	#	#	#	#	#	#	0	202	398	675	3618	3190	2452	1498	1829	1657	1639	1483	1874	2530	2128	2459	2603	2977
#	#	#	#	#	#	#	#	#	#	0	201	475	3510	3090	2302	1383	1656	1485	1439	1282	1671	2352	1928	2259	2402	2775
#	#	#	#	#	#	#	#	#	#	#	0	277	3359	2946	2121	1235	1461	1292	1248	1102	1482	2155	1731	2061	2207	2580
#	#	#	#	#	#	#	#	#	#	#	#	0	3206	2808	1915	1114	1225	1060	964	839	1209	1905	1453	1784	1930	2303
#	#	#	#	#	#	#	#	#	#	#	#	#	0	449	1414	2127	2138	2246	2786	3156	2982	1827	2704	2601	2809	2814
#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	1137	1711	1813	1900	2477	2835	2707	1634	2463	2412	2641	2706
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	1029	740	873	1372	1745	1575	559	1326	1302	1543	1679
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	724	620	1178	1413	1512	1320	1493	1693	1931	2222
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	173	666	1022	936	705	810	972	1215	1497
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	624	947	933	878	873	1081	1314	1619
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	378	339	118	489	820	973	1341
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	412	1490	741	1076	1160	1536
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	1212	357	675	748	1123
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	894	780	1007	1119
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	338	489	852
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	251	546
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	376
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0
